&su;	[su]		
&risie;	[risie]		
&rs;	[rs]		
&dots;	[dots]		
&tgra;	[tgra]		
&female;	[female]		
&gAasperacu;	[gAasperacu]		
&sdot;	[sdot]		
&gplenis;	[gplenis]		
&fuml;	[fuml]		
&T;	[T]		
&ygrave;	[ygrave]		
&ssT;	[ssT]		
&sgate;	[sgate]		
&ceed;	[ceed]		
&s;	[s]		
&zdb;	[zdb]		
&tacute;	[tacute]		
&usup;	[usup]		
&iibreveb;	[iibreveb]		
&supcomma;	[supcomma]		
&rdquor;	[rdquor]		
&wmac;	[wmac]		
&gib;	[gib]		
&quot;	[quot]		
&tdot;	[tdot]		
&aasper;	[aasper]		
&geaspertilde;	[geaspertilde]		
&rsquor;	[rsquor]		
&uibreveb;	[uibreveb]		
&gpasper;	[gpasper]		
&dubdubinspr;	 		
&sigmavasper;	[sigmavasper]		
&Iotaasper;	[Iotaasper]		
&dubinspr;	[dubinspr]		
&guaspergra;	[guaspergra]		
&uibreve;	[uibreve]		
&vmac;	[vmac]		
&r;	[r]		
&ssU;	[ssU]		
&tdb;	[tdb]		
&odotb;	[odotb]		
&heta;	[heta]		
&gelenisgra;	[gelenisgra]		
&Alpha1;	[Alpha1]		
&gucirc;	[gucirc]		
&ustrok;	[ustrok]		
&ssL;	[ssL]		
&dollar;	&#x0024;		
&pcnt;	&#x0025;		
&percnt;	&#x0025;		
&amp;	&#x0026;		
&ast;	&#x002A;		
&kmacr;	&#x002A;		
&plus;	&#x002B;		
&sl;	&#x002F;		
&lt;	&#x003C;		
&equiv;	&#x003D;		
&gt;	&#x003E;		
&circ;	&#x005E;		
&gra;	&#x0060;		
&vr;	&#x007C;		
&tilde;	&#x007E;		
&#132;	&#x0084;		
&#148;	&#x0094;		
&pound;	&#x00A3;		
&sect;	&#x00A7;		
&sects;	&#x00A7;&#x00A7;	A700A7	
&uml;	&#x00A8;		
&supa;	&#x00AA;		
&laquo;	&#x00AB;		
&#x00B0;	&#x00B0;		
&ordm;	&#x00B0;		
&deg;	&#x00B0;		
&plusmn;	&#x00B1;		
&sup2;	&#x00B2;		
&sup3;	&#x00B3;		
&para;	&#x00B6;		
&middot;	&#x00B7;		
&cd;	&#x00B7;		
&sup1;	&#x00B9;		
&supo;	&#x00BA;		
&raquo;	&#x00BB;		
&frac14;	&#x00BC;		
&half;	&#x00BD;		
&frac12;	&#x00BD;		
&frac34;	&#x00BE;		
&iquest;	&#x00BF;		
&Agrave;	&#x00C0;		
&Aacute;	&#x00C1;		
&Acirc;	&#x00C2;		
&Auml;	&#x00C4;		
&Aring;	&#x00C5;		
&Aelig;	&#x00C6;		
&AElig;	&#x00C6;		
&Ccedil;	&#x00C7;		
&Egrave;	&#x00C8;		
&Eacute;	&#x00C9;		
&Ecirc;	&#x00CA;		
&Euml;	&#x00CB;		
&Igrave;	&#x00CC;		
&Iacute;	&#x00CD;		
&Icirc;	&#x00CE;		
&Iuml;	&#x00CF;		
&Ntilde;	&#x00D1;		
&Ograve;	&#x00D2;		
&Oacute;	&#x00D3;		
&Ocirc;	&#x00D4;		
&Ouml;	&#x00D6;		
&Oslash;	&#x00D8;		
&Ugrave;	&#x00D9;		
&Ucirc;	&#x00DB;		
&Uuml;	&#x00DC;		
&szlig;	&#x00DF;		
&agrave;	&#x00E0;		
&aacute;	&#x00E1;		
&acirc;	&#x00E2;		
&atilde;	&#x00E3;		
&auml;	&#x00E4;		
&aring;	&#x00E5;		
&aelig;	&#x00E6;		
&ccedd;	&#x00E7;		
&ccedil;	&#x00E7;		
&egrave;	&#x00E8;		
&eacute;	&#x00E9;		
&ecirc;	&#x00EA;		
&ecircn;	&#x00EA;		
&euml;	&#x00EB;		
&igrave;	&#x00EC;		
&iacute;	&#x00ED;		
&icirc;	&#x00EE;		
&icir;	&#x00EE;		
&iuml;	&#x00EF;		
&eth;	&#x00F0;		
&sntilde;	&#x00F1;		
&ntilde;	&#x00F1;		
&ograk;	&#x00F2;		
&ograve;	&#x00F2;		
&oacute;	&#x00F3;		
&oacu;	&#x00F3;		
&ocirc;	&#x00F4;		
&otilde;	&#x00F5;		
&ouml;	&#x00F6;		
&#x00F6;	&#x00F6;		
&div;	&#x00F7;		
&divide;	&#x00F7;		
&oslash;	&#x00F8;		
&ugrave;	&#x00F9;		
&uacute;	&#x00FA;		
&ucircu;	&#x00FB;		
&ucirc;	&#x00FB;		
&uuml;	&#x00FC;		
&uda;	&#x00FC;		
&yacute;	&#x00FD;		
&thorn;	&#x00FE;		
&#x00FE;	&#x00FE;		
&yuml;	&#x00FF;		
&times;	&#x00d7;		
&Amacr;	&#x0100;		
&abar;	&#x0101;		
&amacr;	&#x0101;		
&#x0101;	&#x0101;		
&abreve;	&#x0103;		
&aibr;	&#x0103;		
&at;	&#x0105;		
&Cacute;	&#x0106;		
&cacute;	&#x0107;		
&ccirc;	&#x0109;		
&Ccaron;	&#x010C;		
&ccaron;	&#x010D;		
&dmacr;	&#x0111;		
&dtilde;	&#x0111;		
&dstrok;	&#x0111;		
&dbar;	&#x0111;		
&Emacr;	&#x0112;		
&#x0113;	&#x0113;		
&emacr;	&#x0113;		
&Ebreve;	&#x0114;		
&ebreve;	&#x0115;		
&edot;	&#x0117;		
&et;	&#x0119;		
&eib;	&#x0119;		
&eogonek;	&#x0119;		
&Ecaron;	&#x011A;		
&ecaron;	&#x011B;		
&gcirc;	&#x011D;		
&gdot;	&#x0121;		
&itilde;	&#x0129;		
&ibar;	&#x012B;		
&imacr;	&#x012B;		
&Ibreve;	&#x012C;		
&ibreve;	&#x012D;		
&inodot;	&#x0131;		
&ntb;	&#x014B;		
&eng;	&#x014B;		
&Omacr;	&#x014C;		
&somac;	&#x014D;		
&omc;	&#x014D;		
&omacr;	&#x014D;		
&obreve;	&#x014F;		
&#140;	&#x0152;		
&OElig;	&#x0152;		
&oelig;	&#x0153;		
&#x0157;	&#x0157;		
&Sacute;	&#x015A;		
&sacute;	&#x015B;		
&scirc;	&#x015D;		
&Scaron;	&#x0160;		
&scaron;	&#x0161;		
&#x0161;	&#x0161;		
&utilde;	&#x0169;		
&umacr;	&#x016B;		
&ubrev;	&#x016D;		
&ubreve;	&#x016D;		
&uang;	&#x016F;		
&uca;	&#x016F;		
&uring;	&#x016F;		
&wcirc;	&#x0175;		
&ycirc;	&#x0177;		
&zacute;	&#x017A;		
&zdot;	&#x017C;		
&Zcaron;	&#x017D;		
&zcaron;	&#x017E;		
&bstrok;	&#x0180;		1
&bbar;	&#x0180;		1
&bmacr;	&#x0183;		1
&#x0192;	&#x0192;		
&fnof;	&#x0192;		
&zbt;	&#x01B6;		1
&acaron;	&#x01CE;		1
&ahacek;	&#x01CE;		1
&ihacek;	&#x01D0;		1
&icaron;	&#x01D0;		1
&ocaron;	&#x01D2;		1
&ohacek;	&#x01D2;		1
&Ucaron;	&#x01D3;		1
&ucaron;	&#x01D4;		1
&uhacek;	&#x01D4;		1
&uumlmac;	&#x01D6;		1
&uumlacu;	&#x01D8;		1
&aemac;	&#x01E3;		1
&gcaron;	&#x01E7;		1
&q;	&#x01EB;		1
&oogonek;	&#x01EB;		1
&omacced;	&#x01ED;		1
&otmac;	&#x01ED;		1
&aeacute;	&#x01FD;		
&zced;	&#x0225;		1
&adot;	&#x0227;		1
&eced;	&#x0229;		1
&oumlmac;	&#x022B;		1
&odot;	&#x022F;		1
&ymac;	&#x0233;		1
&ymacr;	&#x0233;		1
&ic;	&#x0254;		1
&ie;	&#x0259;		1
&zyogh;	&#x0292;		1
&yogh;	&#x0292;		1
&#x02B9;	&#x02B9;		
&br;	&#x02BB;		1
&acute;	&#x02CA;		1
&acu;	&#x02CA;		1
&breve;	&#x02D8;		
&#x0301;	&#x0301;		
&#x0302;	&#x0302;		
&#x0323;	&#x0323;		
&#x0325;	&#x0325;		
&#x032E;	&#x032E;		
&#x032F;	&#x032F;		
&#x0339;	&#x0339;		
&asper;	&#x0384;		
&grd;	&#x0387;		
&Alpha;	&#x0391;		
&Beta;	&#x0392;		
&Gamma;	&#x0393;		
&Delta;	&#x0394;		
&Epsilon;	&#x0395;		
&Zeta;	&#x0396;		
&Eta;	&#x0397;		
&Theta;	&#x0398;		
&Iota;	&#x0399;		
&Kappa;	&#x039A;		
&Lambda;	&#x039B;		
&Mu;	&#x039C;		
&Nu;	&#x039D;		
&Xi;	&#x039E;		
&Omicron;	&#x039F;		
&Pi;	&#x03A0;		
&Rho;	&#x03A1;		
&Sigma;	&#x03A3;		
&Tau;	&#x03A4;		
&Upsilon;	&#x03A5;		
&Phi;	&#x03A6;		
&Chi;	&#x03A7;		
&Omega;	&#x03A9;		
&#x03AC;	&#x03AC;		
&alpha;	&#x03B1;		
&#x03B1;	&#x03B1;		
&beta;	&#x03B2;		
&gamma;	&#x03B3;		
&#x03B4;	&#x03B4;		
&delta;	&#x03B4;		
&epsilon;	&#x03B5;		
&ge;	&#x03B5;		
&#x03B5;	&#x03B5;		
&zeta;	&#x03B6;		
&eta;	&#x03B7;		
&iota;	&#x03B9;		
&#x03BA;	&#x03BA;		
&kappa;	&#x03BA;		
&kappav;	&#x03BA;		
&lambda;	&#x03BB;		
&mu;	&#x03BC;		
&nu;	&#x03BD;		
&#x03BD;	&#x03BD;		
&xi;	&#x03BE;		
&#x03BE;	&#x03BE;		
&omicron;	&#x03BF;		
&#x03BF;	&#x03BF;		
&pi;	&#x03C0;		
&#x03C0;	&#x03C0;		
&#x03C1;	&#x03C1;		
&rho;	&#x03C1;		
&tsigma;	&#x03C2;		
&sigmav;	&#x03C2;		
&sigma;	&#x03C3;		
&tau;	&#x03C4;		
&upsilon;	&#x03C5;		
&phi;	&#x03C6;		
&#x03C7;	&#x03C7;		
&chi;	&#x03C7;		
&psi;	&#x03C8;		
&omega;	&#x03C9;		
&#x03C9;	&#x03C9;		
&guuml;	&#x03CB;		
&#x03CC;	&#x03CC;		
&theta;	&#x03D1;		0
&#x03D1;	&#x03D1;		
&phiv;	&#x03D5;		1
&Sigmav;	&#x03DA;		1
&Digamma;	&#x03DC;		1
&veth;	&#x05D1;		
&heh;	&#x05D4;		
&lamed;	&#x05DC;		
&#2215;	&#x08A7;		
&ddotb;	&#x1E0D;		1
&gmac;	&#x1E21;		1
&hdotb;	&#x1E25;		1
&kdotb;	&#x1E33;		1
&ldb;	&#x1E37;		1
&mdot;	&#x1E41;		1
&mdotb;	&#x1E43;		1
&ndot;	&#x1E45;		1
&ndotb;	&#x1E47;		1
&nbb;	&#x1E49;		1
&omaggra;	&#x1E51;		1
&omacgra;	&#x1E51;		1
&omacacu;	&#x1E53;		1
&rdot;	&#x1E5B;		1
&#x1E5B;	&#x1E5B;		
&rdotb;	&#x1E5B;		1
&rdb;	&#x1E5B;		1
&Sdb;	&#x1E62;		1
&sdotb;	&#x1E63;		1
&#x1E63;	&#x1E63;		
&tdotb;	&#x1E6D;		1
